instance_id,mode,step,epoch,Dice,loss,epoch_time,since_best_Dice,max_Dice,steps/sec
t116,eval,35,7,0.7475850281845832,,,,,
t38,eval,35,7,0.6624976070174211,,,,,
t21,eval,35,7,0.6528993798814096,,,,,
t53,eval,35,7,0.6333295848955317,,,,,
t55,eval,35,7,0.7719169984662545,,,,,
t43,eval,35,7,0.5973273599044134,,,,,
t111,eval,35,7,0.7104790133338955,,,,,
t71,eval,35,7,0.6929959718488599,,,,,
t24,eval,35,7,0.694097451638454,,,,,
t30,eval,35,7,0.7204613625364872,,,,,
t78,eval,35,7,0.6914844987748594,,,,,
t73,eval,35,7,0.691272038039453,,,,,
t40,eval,35,7,0.7539865418890902,,,,,
t133,eval,35,7,0.7332746370742359,,,,,
t115,eval,40,8,0.7911483193157638,,,,,
t35,eval,40,8,0.4831584718367099,,,,,
t126,eval,40,8,0.6036895057795583,,,,,
t26,eval,40,8,0.688171819871697,,,,,
t121,eval,40,8,0.7860079900652999,,,,,
t42,eval,40,8,0.6973741534409197,,,,,
t116,eval,40,8,0.7564057698575707,,,,,
t38,eval,40,8,0.6860615051211707,,,,,
t21,eval,40,8,0.7181076395848044,,,,,
t53,eval,40,8,0.654187714461196,,,,,
t55,eval,40,8,0.7887942160106177,,,,,
t43,eval,40,8,0.5952320923327322,,,,,
t111,eval,40,8,0.7409462120079979,,,,,
t71,eval,40,8,0.7229494307112575,,,,,
t24,eval,40,8,0.7643623609755549,,,,,
t30,eval,40,8,0.7406207790975642,,,,,
t78,eval,40,8,0.7191019544790964,,,,,
t73,eval,40,8,0.7094404927876107,,,,,
t40,eval,40,8,0.7657744574376174,,,,,
t133,eval,40,8,0.7259284837053899,,,,,
t115,eval,45,9,0.8483305236424555,,,,,
t35,eval,45,9,0.5775541699166996,,,,,
t126,eval,45,9,0.7390303561483105,,,,,
t26,eval,45,9,0.7510618349395838,,,,,
t121,eval,45,9,0.8306034201742731,,,,,
t42,eval,45,9,0.7883476939033296,,,,,
t116,eval,45,9,0.8219629724940388,,,,,
t38,eval,45,9,0.7709448510993993,,,,,
t21,eval,45,9,0.7524097134451719,,,,,
t53,eval,45,9,0.7247142956910231,,,,,
t55,eval,45,9,0.8498721278942237,,,,,
t43,eval,45,9,0.6608707957071485,,,,,
t111,eval,45,9,0.8004376432665609,,,,,
